id_solicitacao,renda_mensal,divida_total,tempo_emprego_meses,idade,genero_simulado,regiao_simulada,acesso_digital,score_credito,pontuacao_modelo,resultado,decisao,motivo_informado
SOL-001,2517,1647,19,27,M,Central,Completo,574,587,0,Negado,Pontuacao automatizada abaixo do limite
SOL-002,2517,1647,19,27,F,Central,Completo,574,559,0,Negado,Pontuacao automatizada abaixo do limite
SOL-003,3134,2594,32,34,M,Central,Completo,603,621,0,Negado,Pontuacao automatizada abaixo do limite
SOL-004,3134,2594,32,34,F,Central,Completo,603,593,0,Negado,Pontuacao automatizada abaixo do limite
SOL-005,3751,3541,45,41,M,Periferica,Completo,632,646,0,Negado,Pontuacao automatizada abaixo do limite
SOL-006,3751,3541,45,41,F,Periferica,Completo,632,618,0,Negado,Pontuacao automatizada abaixo do limite
SOL-007,4368,4488,58,48,M,Central,Limitado,661,684,1,Aprovado,Perfil dentro da faixa simulada
SOL-008,4368,4488,58,48,F,Central,Limitado,661,656,0,Negado,Pontuacao automatizada abaixo do limite
SOL-009,4985,5435,71,55,M,Central,Completo,690,728,1,Aprovado,Perfil dentro da faixa simulada
SOL-010,4985,5435,71,55,F,Central,Completo,690,700,1,Aprovado,Perfil dentro da faixa simulada
SOL-011,5602,6382,84,24,M,Periferica,Completo,719,754,1,Aprovado,Perfil dentro da faixa simulada
SOL-012,5602,6382,84,24,F,Periferica,Completo,719,726,1,Aprovado,Perfil dentro da faixa simulada
SOL-013,6219,7329,6,31,M,Central,Completo,748,778,1,Aprovado,Perfil dentro da faixa simulada
SOL-014,6219,7329,6,31,F,Central,Completo,748,750,1,Aprovado,Perfil dentro da faixa simulada
SOL-015,6836,8276,19,38,M,Central,Limitado,572,602,0,Negado,Pontuacao automatizada abaixo do limite
SOL-016,6836,8276,19,38,F,Central,Limitado,572,574,0,Negado,Pontuacao automatizada abaixo do limite
SOL-017,7453,923,32,45,M,Periferica,Completo,601,656,0,Negado,Pontuacao automatizada abaixo do limite
SOL-018,7453,923,32,45,F,Periferica,Completo,601,628,0,Negado,Pontuacao automatizada abaixo do limite
SOL-019,1970,1870,45,52,M,Central,Completo,630,640,0,Negado,Pontuacao automatizada abaixo do limite
SOL-020,1970,1870,45,52,F,Central,Completo,630,612,0,Negado,Pontuacao automatizada abaixo do limite
SOL-021,2587,2817,58,21,M,Central,Completo,659,675,1,Aprovado,Perfil dentro da faixa simulada
SOL-022,2587,2817,58,21,F,Central,Completo,659,647,0,Negado,Pontuacao automatizada abaixo do limite
SOL-023,3204,3764,71,28,M,Periferica,Limitado,688,692,1,Aprovado,Perfil dentro da faixa simulada
SOL-024,3204,3764,71,28,F,Periferica,Limitado,688,664,0,Negado,Pontuacao automatizada abaixo do limite
SOL-025,3821,4711,84,35,M,Central,Completo,717,746,1,Aprovado,Perfil dentro da faixa simulada
SOL-026,3821,4711,84,35,F,Central,Completo,717,718,1,Aprovado,Perfil dentro da faixa simulada
SOL-027,4438,5658,6,42,M,Central,Completo,746,760,1,Aprovado,Perfil dentro da faixa simulada
SOL-028,4438,5658,6,42,F,Central,Completo,746,732,1,Aprovado,Perfil dentro da faixa simulada
SOL-029,5055,6605,19,49,M,Periferica,Completo,570,582,0,Negado,Pontuacao automatizada abaixo do limite
SOL-030,5055,6605,19,49,F,Periferica,Completo,570,554,0,Negado,Pontuacao automatizada abaixo do limite
SOL-031,5672,7552,32,56,M,Central,Limitado,599,620,0,Negado,Pontuacao automatizada abaixo do limite
SOL-032,5672,7552,32,56,F,Central,Limitado,599,592,0,Negado,Pontuacao automatizada abaixo do limite
SOL-033,6289,8499,45,25,M,Central,Completo,628,665,0,Negado,Pontuacao automatizada abaixo do limite
SOL-034,6289,8499,45,25,F,Central,Completo,628,637,0,Negado,Pontuacao automatizada abaixo do limite
SOL-035,6906,1146,58,32,M,Periferica,Completo,657,714,1,Aprovado,Perfil dentro da faixa simulada
SOL-036,6906,1146,58,32,F,Periferica,Completo,657,686,1,Aprovado,Perfil dentro da faixa simulada
SOL-037,7523,2093,71,39,M,Central,Completo,686,759,1,Aprovado,Perfil dentro da faixa simulada
SOL-038,7523,2093,71,39,F,Central,Completo,686,731,1,Aprovado,Perfil dentro da faixa simulada
SOL-039,2040,3040,84,46,M,Central,Limitado,715,717,1,Aprovado,Perfil dentro da faixa simulada
SOL-040,2040,3040,84,46,F,Central,Limitado,715,689,1,Aprovado,Perfil dentro da faixa simulada
SOL-041,2657,3987,6,53,M,Periferica,Completo,744,730,1,Aprovado,Perfil dentro da faixa simulada
SOL-042,2657,3987,6,53,F,Periferica,Completo,744,702,1,Aprovado,Perfil dentro da faixa simulada
SOL-043,3274,4934,19,22,M,Central,Completo,568,572,0,Negado,Pontuacao automatizada abaixo do limite
SOL-044,3274,4934,19,22,F,Central,Completo,568,544,0,Negado,Pontuacao automatizada abaixo do limite
SOL-045,3891,5881,32,29,M,Central,Completo,597,609,0,Negado,Pontuacao automatizada abaixo do limite
SOL-046,3891,5881,32,29,F,Central,Completo,597,581,0,Negado,Pontuacao automatizada abaixo do limite
SOL-047,4508,6828,45,36,M,Periferica,Limitado,626,628,0,Negado,Pontuacao automatizada abaixo do limite
SOL-048,4508,6828,45,36,F,Periferica,Limitado,626,600,0,Negado,Pontuacao automatizada abaixo do limite
